,POS,count,session,book
0,PRP,13.156103896103895,1,False
1,JJ,7.433506493506493,1,False
2,VBZ,2.435324675324676,1,False
3,VBP,5.691428571428571,1,False
4,VBG,2.2576623376623393,1,False
5,RP,1.0838961038961044,1,False
6,NN,20.675844155844146,1,False
7,WRB,1.222337662337663,1,False
8,NNP,5.91194805194805,1,False
9,TO,2.7363636363636386,1,False
10,VB,11.166493506493511,1,False
11,DT,8.486493506493508,1,False
12,IN,7.188831168831169,1,False
13,NNS,2.3480519480519484,1,False
14,UH,1.7254545454545458,1,False
15,VBD,2.027012987012988,1,False
16,RB,5.943896103896104,1,False
17,WDT,0.19948051948051948,1,False
18,PRP$,1.9646753246753255,1,False
19,VBN,0.6537662337662337,1,False
20,RBR,0.13116883116883118,1,False
21,POS,0.5750649350649351,1,False
22,CC,1.2122077922077927,1,False
23,MD,1.363376623376624,1,False
24,WP,1.803896103896104,1,False
25,CD,0.8784415584415589,1,False
26,JJR,0.2555844155844157,1,False
27,EX,0.6490909090909093,1,False
28,WP$,0.004935064935064935,1,False
29,PDT,0.08857142857142859,1,False
30,JJS,0.012727272727272731,1,False
31,FW,0.07064935064935063,1,False
32,NNPS,0.010909090909090906,1,False
33,RBS,0.0015584415584415584,1,False
34,SYM,0.00025974025974025974,1,False
35,VB,11.0435,2,False
36,DT,8.697750000000003,2,False
37,RB,5.851000000000002,2,False
38,WP,1.7929999999999997,2,False
39,VBP,5.708750000000001,2,False
40,PRP,13.1735,2,False
41,TO,2.543750000000002,2,False
42,NNP,5.805,2,False
43,NN,20.518750000000004,2,False
44,PRP$,2.2432500000000006,2,False
45,NNS,2.6272499999999996,2,False
46,IN,7.187500000000002,2,False
47,VBD,2.1752500000000006,2,False
48,VBZ,2.6725000000000008,2,False
49,JJ,7.4065,2,False
50,VBG,2.058000000000001,2,False
51,WRB,1.4137499999999998,2,False
52,EX,0.646,2,False
53,UH,1.5932500000000012,2,False
54,POS,0.5459999999999997,2,False
55,RP,1.25225,2,False
56,CC,1.4307499999999997,2,False
57,MD,1.427000000000001,2,False
58,CD,1.109,2,False
59,VBN,0.63575,2,False
60,JJS,0.024250000000000008,2,False
61,JJR,0.2600000000000001,2,False
62,PDT,0.07700000000000004,2,False
63,NNPS,0.013250000000000003,2,False
64,WDT,0.25475000000000014,2,False
65,RBR,0.1377500000000001,2,False
66,FW,0.03825000000000001,2,False
67,RBS,0.00825,2,False
68,WP$,0.006,2,False
69,NN,20.47476190476191,3,False
70,IN,7.311666666666669,3,False
71,PRP,13.79714285714286,3,False
72,WRB,1.253095238095238,3,False
73,VBZ,2.9354761904761912,3,False
74,DT,8.901190476190473,3,False
75,VBP,6.038333333333333,3,False
76,JJ,7.035714285714287,3,False
77,EX,0.6059523809523812,3,False
78,CD,0.8690476190476194,3,False
79,RB,5.778333333333336,3,False
80,VB,11.114761904761906,3,False
81,UH,1.4978571428571439,3,False
82,WP,2.2538095238095246,3,False
83,PRP$,2.2002380952380953,3,False
84,MD,1.3604761904761908,3,False
85,NNP,5.103095238095239,3,False
86,VBD,2.3216666666666677,3,False
87,RP,1.1914285714285717,3,False
88,TO,2.8728571428571437,3,False
89,NNS,2.6471428571428586,3,False
90,VBN,0.6564285714285716,3,False
91,CC,1.5042857142857158,3,False
92,VBG,2.307619047619049,3,False
93,POS,0.5664285714285716,3,False
94,WDT,0.29,3,False
95,JJR,0.27904761904761904,3,False
96,PDT,0.09666666666666664,3,False
97,RBR,0.14476190476190479,3,False
98,JJS,0.02500000000000001,3,False
99,RBS,0.0038095238095238095,3,False
100,FW,0.03285714285714287,3,False
101,NNPS,0.01476190476190476,3,False
102,WP$,0.002380952380952381,3,False
103,NN,19.44666666666667,4,False
104,NNP,5.369523809523808,4,False
105,CC,1.681904761904762,4,False
106,UH,1.4233333333333344,4,False
107,JJ,7.068333333333331,4,False
108,IN,7.642380952380953,4,False
109,PRP,14.577619047619049,4,False
110,VBD,2.5340476190476195,4,False
111,TO,3.0276190476190488,4,False
112,VB,11.004523809523809,4,False
113,DT,8.861190476190474,4,False
114,RB,6.175476190476189,4,False
115,NNS,2.5571428571428583,4,False
116,POS,0.6559523809523812,4,False
117,VBZ,2.9702380952380962,4,False
118,VBG,2.353809523809525,4,False
119,VBP,5.98404761904762,4,False
120,WRB,1.2038095238095243,4,False
121,WP,2.1992857142857156,4,False
122,EX,0.5483333333333336,4,False
123,VBN,0.6190476190476192,4,False
124,PRP$,2.0450000000000013,4,False
125,RP,1.2623809523809526,4,False
126,MD,1.4030952380952386,4,False
127,JJR,0.24785714285714297,4,False
128,FW,0.047380952380952406,4,False
129,RBR,0.12142857142857143,4,False
130,WDT,0.35380952380952385,4,False
131,CD,0.9883333333333335,4,False
132,JJS,0.024047619047619054,4,False
133,PDT,0.09738095238095236,4,False
134,RBS,0.006666666666666668,4,False
135,WP$,0.009047619047619049,4,False
136,NNPS,0.02047619047619048,4,False
137,NN,19.079767441860454,5,False
138,IN,7.893488372093024,5,False
139,CC,1.6830232558139546,5,False
140,DT,8.622325581395348,5,False
141,JJ,7.1039534883720945,5,False
142,VB,10.949069767441861,5,False
143,PRP,15.198604651162793,5,False
144,VBZ,3.0658139534883726,5,False
145,VBP,6.248139534883722,5,False
146,NNS,2.5383720930232565,5,False
147,WDT,0.37162790697674425,5,False
148,RB,6.379302325581396,5,False
149,WP,2.228139534883722,5,False
150,NNP,5.0304651162790694,5,False
151,MD,1.4525581395348843,5,False
152,VBN,0.6174418604651165,5,False
153,WRB,1.2188372093023263,5,False
154,VBD,2.6430232558139553,5,False
155,EX,0.5174418604651163,5,False
156,CD,1.1027906976744184,5,False
157,POS,0.4388372093023255,5,False
158,VBG,2.3174418604651175,5,False
